Date,Open,High,Low,Close,Previous Close,Change,Percent Change,Index Name,Fund Name
2025-11-20,26132.1,26246.65,26063.2,26192.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-21,26109.55,26179.2,26052.2,26068.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-24,26122.8,26142.8,25912.15,25959.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-25,25998.5,26032.6,25857.5,25884.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-26,25842.95,26215.15,25842.95,26205.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-27,26261.25,26310.45,26141.9,26215.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-11-28,26237.45,26280.75,26172.4,26202.95,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-01,26325.8,26325.8,26124.2,26175.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-02,26087.95,26154.6,25997.85,26032.2,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-03,26004.9,26066.45,25891.0,25986.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-04,25981.85,26098.25,25938.95,26033.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-05,25999.8,26202.6,25985.35,26186.45,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-08,26159.8,26178.7,25892.25,25960.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-09,25867.1,25923.65,25728.0,25839.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-10,25864.05,25947.65,25734.55,25758.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-11,25771.4,25922.8,25693.25,25898.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-12,25971.2,26057.6,25938.45,26046.95,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-15,25930.05,26047.15,25904.75,26027.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-16,25951.5,25980.75,25834.35,25860.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-17,25902.4,25929.15,25770.35,25818.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-18,25764.7,25902.35,25726.3,25815.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-19,25911.5,25993.35,25880.45,25966.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-22,26055.85,26180.7,26047.8,26172.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-23,26205.2,26233.55,26119.05,26177.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-24,26170.65,26236.4,26123.0,26142.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-26,26121.25,26144.2,26008.6,26042.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-29,26063.35,26106.8,25920.3,25942.1,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-30,25940.9,25976.75,25878.0,25938.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-12-31,25971.05,26187.95,25969.0,26129.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-01,26173.3,26197.55,26113.4,26146.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-02,26155.1,26340.0,26118.4,26328.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-05,26333.7,26373.2,26210.05,26250.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-06,26189.7,26273.95,26124.75,26178.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-07,26143.1,26187.15,26067.9,26140.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-08,26106.5,26133.2,25858.45,25876.85,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-09,25840.4,25940.6,25623.0,25683.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-12,25669.05,25813.15,25473.4,25790.25,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-13,25897.35,25899.8,25603.3,25732.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-14,25648.55,25791.75,25603.95,25665.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-16,25696.05,25873.5,25662.4,25694.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-19,25653.1,25653.3,25494.35,25585.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-20,25580.3,25585.0,25171.35,25232.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-21,25141.0,25300.95,24919.8,25157.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-22,25344.15,25435.75,25168.5,25289.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-23,25344.6,25347.95,25025.3,25048.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-27,25063.35,25246.65,24932.55,25175.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-28,25258.85,25372.1,25187.65,25342.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-29,25345.0,25458.15,25159.8,25418.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-01-30,25247.55,25370.7,25213.65,25320.65,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-01,25333.75,25440.9,24571.75,24825.45,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-02,24796.5,25108.1,24679.4,25088.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-03,26308.05,26341.2,25641.3,25727.55,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-04,25675.05,25818.55,25563.95,25776.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-05,25755.9,25757.65,25579.5,25642.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-06,25605.8,25703.95,25491.9,25693.7,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-09,25888.7,25922.25,25780.9,25867.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2026-02-10,25922.65,25989.45,25870.45,25935.15,0.0,0.0,0.0,NIFTY 50,NIFTY 50
